position_grid,position_final,dr_position_champ,dr_points,milliseconds,fastestLapTime,ct_points,ct_position,ct_wins,dr_wins,pt_stop,pt_dur_milliseconds,run_win,status
1,1,1,25.0,5370259,1:29.844,35.0,1,1,1,3,23319.5,1,Finished
3,5,5,10.0,5408430,1:29.600,35.0,1,1,0,6,24058.666666666668,0,Finished
2,2,2,18.0,5392556,1:30.314,26.0,2,0,0,3,23213.0,0,Finished
4,6,6,8.0,5424563,1:29.883,26.0,2,0,0,6,20950.333333333332,0,Finished
6,3,3,15.0,5400819,1:30.064,15.0,4,0,0,3,25109.0,0,Finished
5,4,4,12.0,5402031,1:29.487,18.0,3,0,0,6,24055.0,0,Finished
8,7,7,6.0,5455445,1:28.947,18.0,3,0,0,6,24145.666666666668,0,Finished
1,1,1,25.0,5859832,1:41.539,72.0,1,2,2,6,22408.333333333332,1,Finished
3,4,4,12.0,5886216,1:40.571,72.0,1,2,0,10,22198.25,0,Finished
4,2,2,18.0,5863093,1:41.264,48.0,2,0,0,6,22451.333333333332,0,Finished
2,8,8,4.0,5929789,1:41.512,48.0,2,0,0,10,23252.75,0,Finished
6,3,3,15.0,5884907,1:41.547,30.0,4,0,0,6,23241.0,0,Finished
7,5,5,10.0,5896790,1:41.999,36.0,3,0,0,6,24886.0,0,Finished
5,6,6,8.0,5897080,1:40.717,36.0,3,0,0,10,24510.0,0,Finished
10,7,7,6.0,5926271,1:42.095,6.0,5,0,0,3,23361.0,0,Finished
11,9,9,2.0,5944728,1:42.491,2.0,8,0,0,6,22354.666666666668,0,Finished
14,10,10,1.0,5951395,1:42.883,4.0,7,0,0,6,23056.333333333332,0,Finished
3,1,1,25.0,5818226,1:40.415,85.0,2,1,1,6,20659.333333333332,1,Finished
2,4,4,12.0,5828226,1:40.623,85.0,2,1,0,6,21924.666666666668,0,Finished
1,2,2,18.0,5823424,1:41.321,105.0,1,2,2,3,21764.0,0,Finished
18,3,3,15.0,5825781,1:38.993,105.0,1,2,0,6,21888.333333333332,0,Finished
4,5,5,10.0,5831674,1:41.166,16.0,5,0,0,6,21165.333333333332,0,Finished
14,8,8,4.0,5849252,1:41.215,16.0,5,0,0,6,21295.333333333332,0,Finished
6,6,6,8.0,5834066,1:41.678,50.0,3,0,0,3,21396.0,0,Finished
5,7,7,6.0,5848848,1:42.070,50.0,3,0,0,3,21887.5,0,Finished
10,9,9,2.0,5875630,1:41.261,32.0,4,0,0,3,21993.0,0,Finished
16,12,12,0.0,5890965,1:42.406,32.0,4,0,0,3,22018.5,0,Finished
13,10,10,1.0,5881499,1:42.577,7.0,6,0,0,3,21895.5,0,Finished
8,11,11,0.0,5886983,1:42.614,4.0,8,0,0,3,21603.5,0,Finished
15,13,13,0.0,5908415,1:42.031,0.0,10,0,0,3,21595.0,0,Finished
9,14,14,0.0,5908897,1:41.696,4.0,7,0,0,6,22886.666666666668,0,Finished
1,1,1,25.0,5417558,1:29.937,148.0,1,3,3,10,20402.25,1,Finished
2,2,2,18.0,5426365,1:29.703,148.0,1,3,0,10,21100.25,0,Finished
5,3,3,15.0,5427633,1:30.279,65.0,3,0,0,10,21530.25,0,Finished
10,11,11,0.0,5497381,1:31.118,65.0,3,0,0,10,23375.0,0,Finished
4,4,4,12.0,5457790,1:30.108,105.0,2,1,1,10,24909.25,0,Finished
6,6,6,8.0,5476989,1:31.167,105.0,2,1,0,6,21808.0,0,Finished
3,5,5,10.0,5465097,1:30.573,26.0,5,0,0,10,21189.25,0,Finished
8,12,12,0.0,5503002,1:31.153,26.0,5,0,0,10,23016.25,0,Finished
9,7,7,6.0,5478415,1:30.158,42.0,4,0,0,10,21743.75,0,Finished
7,8,8,4.0,5485726,1:30.618,42.0,4,0,0,10,21561.25,0,Finished
16,9,9,2.0,5486952,1:31.360,6.0,7,0,0,6,21976.333333333332,0,Finished
2,1,1,25.0,5943301,1:27.162,185.0,1,4,4,10,20214.5,1,Finished
1,4,4,12.0,5991267,1:27.187,185.0,1,4,0,10,20305.75,0,Finished
3,2,2,18.0,5943931,1:26.727,138.0,2,1,1,10,20364.25,0,Finished
5,3,3,15.0,5978998,1:27.518,138.0,2,1,0,6,20295.0,0,Finished
1,1,1,25.0,7778373,1:16.267,222.0,1,5,5,1,28536.0,1,Finished
3,4,4,12.0,7801474,1:16.234,222.0,1,5,0,3,32002.0,0,Finished
4,2,2,18.0,7779511,1:16.471,93.0,3,0,0,3,28367.0,0,Finished
2,3,3,15.0,7780751,1:16.463,161.0,2,1,0,6,25457.0,0,Finished
9,6,6,8.0,7805583,1:17.847,161.0,2,1,1,6,25923.0,0,Finished
12,5,5,10.0,7805289,1:18.308,21.0,6,0,0,1,28642.0,0,Finished
7,1,1,25.0,14679537,1:16.956,186.0,2,2,1,21,23511.166666666668,1,Finished
1,2,2,18.0,14682246,1:17.217,255.0,1,5,5,6,23118.666666666668,0,Finished
4,3,3,15.0,14693365,1:19.572,255.0,1,5,0,6,24906.0,0,Finished
8,4,4,12.0,14693756,1:19.138,52.0,5,0,0,10,23592.25,0,Finished
6,11,11,0.0,14729991,1:20.071,52.0,5,0,0,10,22882.0,0,Finished
10,5,5,10.0,14699932,1:19.054,60.0,4,0,0,3,23980.5,0,Finished
3,6,6,8.0,14712762,1:19.148,101.0,3,0,0,10,24633.5,0,Finished
13,7,7,6.0,14712807,1:20.213,27.0,6,0,0,3,24152.5,0,Finished
17,12,12,0.0,14743144,1:20.369,27.0,6,0,0,3,27163.5,0,Finished
24,8,8,4.0,14715501,1:20.371,12.0,7,0,0,6,24748.666666666668,0,Finished
15,10,10,1.0,14726593,1:19.507,12.0,7,0,0,10,24782.25,0,Finished
16,9,9,2.0,14724654,1:20.316,4.0,9,0,0,10,24028.5,0,Finished
1,1,1,25.0,5976169,1:41.852,295.0,1,6,6,6,20592.666666666668,1,Finished
2,3,3,15.0,6003424,1:42.534,295.0,1,6,0,6,20383.666666666668,0,Finished
4,2,2,18.0,5987060,1:42.308,129.0,3,0,0,6,20721.333333333332,0,Finished
5,5,5,10.0,6027874,1:42.705,129.0,3,0,0,6,22219.666666666668,0,Finished
3,4,4,12.0,6022359,1:42.947,206.0,2,2,1,6,20529.0,0,Finished
6,6,6,8.0,6036234,1:42.340,206.0,2,2,1,6,20600.333333333332,0,Finished
7,7,7,6.0,6074259,1:43.649,58.0,5,0,0,6,21832.333333333332,0,Finished
3,1,1,25.0,5321196,1:34.908,164.0,3,1,1,6,24671.333333333332,1,Finished
4,5,5,10.0,5350206,1:35.474,164.0,3,1,0,6,23775.333333333332,0,Finished
2,2,2,18.0,5337707,1:35.565,328.0,1,6,6,6,26504.333333333332,0,Finished
1,3,3,15.0,5338143,1:35.665,328.0,1,6,0,6,24416.0,0,Finished
10,4,4,12.0,5350182,1:36.180,218.0,2,2,1,6,24168.333333333332,0,Finished
9,6,6,8.0,5381861,1:37.073,68.0,4,0,0,3,24560.5,0,Finished
13,9,9,2.0,5399108,1:37.034,68.0,4,0,0,6,28881.333333333332,0,Finished
12,7,7,6.0,5386786,1:36.656,33.0,6,0,0,3,25502.5,0,Finished
16,8,8,4.0,5396738,1:37.117,65.0,5,0,0,3,24575.0,0,Finished
14,12,12,0.0,5401877,1:36.308,65.0,5,0,0,3,24526.0,0,Finished
18,10,10,1.0,5400304,1:37.160,17.0,7,0,0,3,24407.0,0,Finished
11,11,11,0.0,5400908,1:36.744,12.0,8,0,0,6,25684.666666666668,0,Finished
2,1,1,25.0,5850334,1:34.302,243.0,2,3,2,6,20627.0,1,Finished
4,2,2,18.0,5854314,1:34.626,192.0,3,1,1,6,20146.666666666668,0,Finished
5,5,5,10.0,5902586,1:34.609,192.0,3,1,0,6,20810.666666666668,0,Finished
1,3,3,15.0,5860122,1:34.468,355.0,1,6,0,6,20687.666666666668,0,Finished
3,4,4,12.0,5898255,1:34.587,355.0,1,6,6,6,20259.333333333332,0,Finished
8,6,6,8.0,5936542,1:36.653,20.0,7,0,0,3,20859.0,0,Finished
3,1,1,25.0,6402337,1:23.937,280.0,2,4,2,6,20965.666666666668,1,Finished
2,4,4,12.0,6450675,1:23.661,280.0,2,4,2,21,19866.666666666668,0,Finished
1,2,2,18.0,6405925,1:23.875,383.0,1,6,6,6,20321.666666666668,0,Finished
6,5,5,10.0,6452079,1:23.718,383.0,1,6,0,15,20672.8,0,Finished
5,3,3,15.0,6422156,1:23.711,215.0,3,1,1,10,21539.0,0,Finished
4,6,6,8.0,6485513,1:23.415,215.0,3,1,0,10,21760.25,0,Finished
1,1,1,25.0,5204893,1:50.451,426.0,1,7,7,6,21031.666666666668,1,Finished
3,2,2,18.0,5208634,1:49.883,426.0,1,7,0,3,20981.0,0,Finished
13,3,3,15.0,5214562,1:50.062,295.0,2,4,2,6,23147.333333333332,0,Finished
8,4,4,12.0,5217915,1:51.107,231.0,3,1,1,3,21118.5,0,Finished
4,8,8,4.0,5270969,1:51.564,231.0,3,1,0,6,21869.333333333332,0,Finished
5,6,6,8.0,5253567,1:52.263,98.0,4,0,0,3,22130.5,0,Finished
15,7,7,6.0,5264606,1:52.591,32.0,7,0,0,3,21878.0,0,Finished
17,11,11,0.0,5288887,1:53.223,32.0,7,0,0,3,21342.0,0,Finished
10,9,9,2.0,5276810,1:52.432,68.0,5,0,0,3,21687.0,0,Finished
7,13,13,0.0,5297878,1:53.585,68.0,5,0,0,6,21839.666666666668,0,Finished
21,10,10,1.0,5282508,1:53.362,5.0,9,0,0,3,21862.0,0,Finished
12,12,12,0.0,5296869,1:53.871,35.0,6,0,0,3,22715.0,0,Finished
1,1,1,25.0,4846172,1:26.557,451.0,1,8,8,3,21751.0,1,Finished
